Site,Year,Block,Plot,Treatment,Replicate,C3_g,C4_g,Forb_g,Cactus_%,Total_g,Total_g_m,Bouteloua_gracilis_stalks
SGS,2025,1,1,2,1,0.01,0,0,0,0.01,0.1,0
SGS,2025,1,1,2,2,0,0,0,38,0,0,0
SGS,2025,1,2,4,1,0.04,0.42,0.07,56,0.53,5.3,0
SGS,2025,1,2,4,2,0,0.05,0,0,0.05,0.5,0
SGS,2025,1,3,1,1,0.5,3.87,0.37,0,4.74,47.4,0
SGS,2025,1,3,1,2,0.49,7.98,0.23,0,8.7,87,0
SGS,2025,1,4,3,1,0.96,1.94,0.14,85,3.04,30.4,1
SGS,2025,1,4,3,2,0.53,0.92,0.45,90,1.9,19,0
SGS,2025,2,5,3,1,0.07,5.45,0,2.5,5.52,55.2,0
SGS,2025,2,5,3,2,0.33,4.83,0.05,8,5.21,52.1,2
SGS,2025,2,6,1,1,1.51,4.85,0,0,6.36,63.6,0
SGS,2025,2,6,1,2,2.21,7.75,0.39,0,10.35,103.5,0
SGS,2025,2,7,2,1,0.04,0.51,0.4,10,0.95,9.5,0
SGS,2025,2,7,2,2,0.02,0.1,0.18,0,0.3,3,0
SGS,2025,2,8,4,1,0,0,0.17,0,0.17,1.7,0
SGS,2025,2,8,4,2,0,0,0,29,0,0,0
SGS,2025,3,9,3,1,0.58,4.87,0,0,5.45,54.5,0
SGS,2025,3,9,3,2,0.53,4.2,0,15,4.73,47.3,0
SGS,2025,3,10,1,1,1.75,1.51,0.9,0,4.16,41.6,0
SGS,2025,3,10,1,2,0.25,0.8,10.84,0,11.89,118.9,0
SGS,2025,3,11,2,1,0,1.17,0,0,1.17,11.7,0
SGS,2025,3,11,2,2,0,0.87,0,0,0.87,8.7,0
SGS,2025,3,12,4,1,0,0.45,0,0,0.45,4.5,0
SGS,2025,3,12,4,2,0,0.13,0,0,0.13,1.3,0
SGS,2025,4,13,4,1,0.01,0.02,0.11,0,0.14,1.4,0
SGS,2025,4,13,4,2,0.12,0.07,0,0,0.19,1.9,0
SGS,2025,4,14,2,1,0,0,0,0,0,0,0
SGS,2025,4,14,2,2,0,0,0,0,0,0,0
SGS,2025,4,15,3,1,1.22,4.74,0,55,5.96,59.6,2
