,X,file_name,plot,block,treatment,year,month,day,plot_type,nphoto,GCC_mean,EGI_mean,ERI_mean,ExGmR,Date,pixel_length,pixel_width,DoY
1,1,C01_01_04232025.jpeg,1,1,Drought,2025,4,23,C,1,0.336398432,0.018576346,0.212258718,-0.193682372,4/23/25,2330,2404,113
2,2,C02_01_04232025.jpeg,2,1,Drought-Deluge,2025,4,23,C,1,0.338217202,0.021516425,0.239256148,-0.217739723,4/23/25,2324,2305,113
3,3,C03_01_04232025.jpeg,3,1,Control,2025,4,23,C,1,0.340236927,0.021720375,0.195469439,-0.173749063,4/23/25,2438,2412,113
4,4,C04_01_04232025.jpeg,4,1,Deluge,2025,4,23,C,1,0.340803955,0.020208317,0.174782982,-0.154574665,4/23/25,2320,2312,113
5,5,C05_01_04232025.jpg,5,2,Deluge,2025,4,23,C,1,0.34173306,0.022293791,0.191050702,-0.168756911,4/23/25,2320,2324,113
6,6,C06_01_04232025.jpeg,6,2,Control,2025,4,23,C,1,0.338455613,0.020695409,0.190996953,-0.170301544,4/23/25,2361,2353,113
7,7,C07_01_04232025.jpeg,7,2,Drought,2025,4,23,C,1,0.339561014,0.024849763,0.210885608,-0.186035845,4/23/25,2349,2372,113
8,8,C08_01_04232025.jpeg,8,2,Drought-Deluge,2025,4,23,C,1,0.338303966,0.020702328,0.200331976,-0.179629648,4/23/25,2269,2302,113
9,9,C09_01_04232025.jpeg,9,3,Deluge,2025,4,23,C,1,0.337841188,0.014387201,0.191827318,-0.177440117,4/23/25,2078,2165,113
10,10,C10_01_04232025.jpeg,10,3,Control,2025,4,23,C,1,0.337098127,0.014312544,0.219366369,-0.205053825,4/23/25,1973,1979,113
11,11,C11_01_04232025.jpeg,11,3,Drought,2025,4,23,C,1,0.337745983,0.018351082,0.203102648,-0.184751566,4/23/25,2159,2203,113
12,12,C12_01_04232025.jpeg,12,3,Drought-Deluge,2025,4,23,C,1,0.33531476,0.016110258,0.202795279,-0.186685021,4/23/25,2057,2069,113
13,13,C13_01_04232025.jpeg,13,4,Drought-Deluge,2025,4,23,C,1,0.337864277,0.016797904,0.197796653,-0.180998749,4/23/25,2164,2218,113
14,14,C14_01_04232025.jpeg,14,4,Drought,2025,4,23,C,1,0.339237021,0.019642945,0.201673,-0.182030055,4/23/25,2095,2130,113
15,15,C15_01_04232025.jpeg,15,4,Deluge,2025,4,23,C,1,0.341060888,0.024355134,0.224957259,-0.200602126,4/23/25,2262,2123,113
16,16,C16_01_04232025.jpeg,16,4,Control,2025,4,23,C,1,0.336760544,0.010842028,0.21247016,-0.201628132,4/23/25,2051,1990,113
