Plot_#,Trt_#,20_cm_VWC_%,Date,
1,Drought,12.3,5/23/25,
2,Drought-Deluge,13.7,5/23/25,
3,Control,30,5/23/25,
4,Deluge,24.9,5/23/25,
5,Deluge,16.7,5/23/25,
6,Control,32.1,5/23/25,
7,Drought,10.1,5/23/25,
8,Drought-Deluge,23.3,5/23/25,
9,Deluge,22.9,5/23/25,
10,Control,26.3,5/23/25,
11,Drought,29.3,5/23/25,
12,Drought-Deluge,11.6,5/23/25,
13,Drought-Deluge,18.2,5/23/25,
14,Drought,41.6,5/23/25,
15,Deluge,21.7,5/23/25,
16,Control,26.4,5/23/25,
17,Drought-Deluge,11.4,5/23/25,
18,Drought,12.1,5/23/25,
19,Control,30.3,5/23/25,
20,Deluge,21.3,5/23/25,
21,Drought,8.3,5/23/25,
22,Drought-Deluge,14.2,5/23/25,
23,Deluge,23.4,5/23/25,
24,Control,24.8,5/23/25,
25,Drought,10.3,5/23/25,
26,Drought-Deluge,10,5/23/25,
27,Control,21.5,5/23/25,
28,Deluge,18.3,5/23/25,
29,Drought-Deluge,8.8,5/23/25,
30,Drought,13.8,5/23/25,
31,Control,26,5/23/25,
32,Deluge,24.3,5/23/25,
33,Drought,14.4,5/23/25,
34,Drought-Deluge,31.9,5/23/25,
35,Deluge,12.9,5/23/25,
36,Control,27.5,5/23/25,
37,Deluge,20.5,5/23/25,
38,Control,19.8,5/23/25,
39,Drought-Deluge,8.1,5/23/25,
40,Drought,16.4,5/23/25,
1,Drought,25.3,5/30/25,
2,Drought-Deluge,25.8,5/30/25,
3,Control,27.1,5/30/25,
4,Deluge,23.7,5/30/25,
5,Deluge,30.9,5/30/25,
6,Control,28.2,5/30/25,
7,Drought,22.3,5/30/25,
8,Drought-Deluge,12,5/30/25,
9,Deluge,28.2,5/30/25,
10,Control,28.6,5/30/25,
11,Drought,12.5,5/30/25,
12,Drought-Deluge,9.5,5/30/25,
13,Drought-Deluge,26.3,5/30/25,
14,Drought,12.9,5/30/25,
15,Deluge,23.9,5/30/25,
16,Control,25.4,5/30/25,
17,Drought-Deluge,17.6,5/30/25,
18,Drought,11.1,5/30/25,
19,Control,25.6,5/30/25,
20,Deluge,22,5/30/25,
21,Drought,17.1,5/30/25,
22,Drought-Deluge,20.8,5/30/25,
23,Deluge,27.4,5/30/25,
24,Control,28.9,5/30/25,
25,Drought,10.1,5/30/25,
26,Drought-Deluge,10.2,5/30/25,
27,Control,19.6,5/30/25,
28,Deluge,26.4,5/30/25,
29,Drought-Deluge,14.5,5/30/25,
30,Drought,12.1,5/30/25,
31,Control,29,5/30/25,
32,Deluge,24.3,5/30/25,
33,Drought,8.7,5/30/25,
34,Drought-Deluge,8.1,5/30/25,
35,Deluge,22.9,5/30/25,
36,Control,30.6,5/30/25,
37,Deluge,27.5,5/30/25,
38,Control,24.6,5/30/25,
39,Drought-Deluge,8.8,5/30/25,
40,Drought,10.6,5/30/25,
1,Drought,11.4,6/6/25,
2,Drought-Deluge,22,6/6/25,
3,Control,19.1,6/6/25,
4,Deluge,19.6,6/6/25,
5,Deluge,25.2,6/6/25,
6,Control,22.7,6/6/25,
7,Drought,25.1,6/6/25,
8,Drought-Deluge,9.3,6/6/25,
9,Deluge,20.7,6/6/25,
10,Control,25.1,6/6/25,
11,Drought,9.3,6/6/25,
12,Drought-Deluge,20.7,6/6/25,
13,Drought-Deluge,25.1,6/6/25,
14,Drought,11.4,6/6/25,
15,Deluge,10.6,6/6/25,
16,Control,18.9,6/6/25,
17,Drought-Deluge,26.2,6/6/25,
18,Drought,23.6,6/6/25,
19,Control,22.3,6/6/25,
20,Deluge,19.2,6/6/25,
21,Drought,6.8,6/6/25,
22,Drought-Deluge,14.4,6/6/25,
23,Deluge,28.5,6/6/25,
24,Control,26.9,6/6/25,
25,Drought,8.1,6/6/25,
26,Drought-Deluge,11.3,6/6/25,
27,Control,17.4,6/6/25,
28,Deluge,27.5,6/6/25,
29,Drought-Deluge,19,6/6/25,
30,Drought,13.3,6/6/25,
31,Control,25,6/6/25,
32,Deluge,22.4,6/6/25,
33,Drought,7.2,6/6/25,
34,Drought-Deluge,9.1,6/6/25,
35,Deluge,22.5,6/6/25,
36,Control,33.6,6/6/25,
37,Deluge,26.2,6/6/25,
38,Control,23.5,6/6/25,
39,Drought-Deluge,9.4,6/6/25,
40,Drought,11.9,6/6/25,
1,Drought,18.7,6/13/25,
2,Drought-Deluge,23.4,6/13/25,
3,Control,21.9,6/13/25,
4,Deluge,19.8,6/13/25,
5,Deluge,22.1,6/13/25,
6,Control,22.9,6/13/25,
7,Drought,25.6,6/13/25,
8,Drought-Deluge,10.9,6/13/25,
9,Deluge,24.1,6/13/25,
10,Control,16.7,6/13/25,
11,Drought,13.9,6/13/25,
12,Drought-Deluge,11.8,6/13/25,
13,Drought-Deluge,22.4,6/13/25,
14,Drought,23,6/13/25,
15,Deluge,22.2,6/13/25,
16,Control,20.5,6/13/25,
17,Drought-Deluge,35.2,6/13/25,
18,Drought,13.3,6/13/25,
19,Control,18.9,6/13/25,
20,Deluge,16.6,6/13/25,
